District,Households,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise,State/UT
Sawai Madhopur,353321.0,282057.0,18615.762000000002,164721.288,13538.736,71264.0,2494.2400000000002,28363.071999999996,44753.792,Rajasthan
Dausa,420694.0,361084.0,20220.703999999998,225316.416,29608.887999999995,59610.0,1847.91,24738.149999999998,37196.64,Rajasthan
Jaipur,1732679.0,754841.0,33213.004,416672.232,66426.008,977838.0,25423.788,340287.62399999995,705999.036,Rajasthan
Sikar,705834.0,527560.0,27960.68,248480.76,49063.08000000001,178274.0,2495.836,47777.432,137270.98,Rajasthan
Nagaur,842201.0,675712.0,28379.904000000002,287853.312,148656.64,166489.0,1997.868,45118.519,151005.52300000002,Rajasthan
Jodhpur,891657.0,584215.0,16358.019999999999,183443.51,234854.43000000002,307442.0,4919.072,82701.89799999999,260403.37399999998,Rajasthan
Jaisalmer,189947.0,159117.0,10024.371,73830.288,42166.005000000005,30830.0,739.92,9865.6,24848.98,Rajasthan
Barmer,598805.0,542825.0,28226.9,268698.375,74367.025,55980.0,951.6600000000001,14442.84,50437.979999999996,Rajasthan
Jalor,467418.0,419216.0,13414.912,235180.17600000004,70009.07199999999,48202.0,819.4340000000001,19473.608,32054.33,Rajasthan
Sirohi,308174.0,238535.0,12642.355,141689.78999999998,23137.894999999997,69639.0,1740.9750000000001,20195.309999999998,57661.092,Rajasthan
Pali,652717.0,512909.0,43084.356,267225.58900000004,57958.717000000004,139808.0,5592.32,51029.92,86541.152,Rajasthan
Ajmer,684254.0,409335.0,28244.115,207942.18,66312.27,274919.0,5223.461,73678.292,187494.758,Rajasthan
Tonk,380666.0,298911.0,16141.194000000001,149754.411,55896.356999999996,81755.0,2043.875,27142.66,56492.704999999994,Rajasthan
Bundi,303288.0,239836.0,8154.424000000001,119678.164,33816.876,63452.0,697.9720000000001,17703.107999999997,54695.623999999996,Rajasthan
Bhilwara,675880.0,530015.0,10070.285,286738.115,36571.035,145865.0,3646.625,52948.994999999995,95833.30500000001,Rajasthan
Rajsamand,365676.0,304622.0,10357.148000000001,171502.186,25283.626,61054.0,1221.08,20514.144,39196.668,Rajasthan
Dungarpur,354363.0,322816.0,11621.376000000002,179162.88,33895.68,31547.0,410.11100000000005,9495.646999999999,23565.609,Rajasthan
Banswara,429844.0,390437.0,16398.354,213178.602,44119.381,39407.0,394.07,12176.762999999999,28136.598,Rajasthan
Chittaurgarh,455653.0,366780.0,22740.36,227770.38,33376.979999999996,88873.0,1866.333,22751.488,65854.893,Rajasthan
Kota,515189.0,203454.0,18514.314,139569.444,14038.326000000001,311735.0,7169.905,73257.72499999999,257181.375,Rajasthan
Baran,318988.0,249184.0,8970.624000000002,136802.01599999997,23921.664,69804.0,1256.4720000000002,18707.472,50607.9,Rajasthan
Jhalawar,362387.0,298624.0,8361.472,138262.91199999998,36730.752,63763.0,1211.497,18682.558999999997,48969.984000000004,Rajasthan
Udaipur,848218.0,665449.0,20628.918999999998,337382.643,49908.674999999996,182769.0,3655.38,63786.380999999994,104726.63699999999,Rajasthan
Pratapgarh,234082.0,209813.0,9021.958999999999,125258.36099999999,15106.536000000002,24269.0,509.64900000000006,7280.7,16235.961000000001,Rajasthan
Saharanpur,889238.0,605082.0,22993.115999999998,363654.282,56272.62600000001,284156.0,3409.8720000000003,62514.32,244942.472,Uttar Pradesh
Muzaffarnagar,969850.0,673746.0,16843.65,425807.472,41772.252,296104.0,4145.455999999999,71064.95999999999,207568.90399999998,Uttar Pradesh
Bijnor,908523.0,683875.0,17096.875,432209.0,42400.25,224648.0,6739.44,71213.416,143999.368,Uttar Pradesh
Moradabad,1047916.0,692398.0,43621.074,309501.906,78240.974,355518.0,4977.2519999999995,85324.31999999999,249218.118,Uttar Pradesh
Rampur,539992.0,396775.0,24996.825,177358.42500000002,44835.575000000004,143217.0,4296.51,45399.789,91802.09699999998,Uttar Pradesh
Jyotiba Phule Nagar,451374.0,335888.0,19145.616,156187.92,144095.952,115486.0,3580.066,43076.278,106247.12000000001,Uttar Pradesh
Meerut,803823.0,381520.0,17549.92,191523.04,209454.47999999998,422303.0,13513.696,168921.2,391052.578,Uttar Pradesh
Baghpat,316046.0,246055.0,13533.025,129424.93000000001,124011.72,69991.0,2239.712,29886.157000000003,64671.684,Uttar Pradesh
Ghaziabad,1191723.0,355407.0,21324.42,225683.445,169884.546,836316.0,26762.112,386377.992,782791.776,Uttar Pradesh
Gautam Buddha Nagar,509770.0,170835.0,10591.77,110871.91500000001,96350.93999999999,338935.0,13218.465,164383.475,319615.70499999996,Uttar Pradesh
Bulandshahr,880077.0,658449.0,38848.491,398361.64499999996,265354.947,221628.0,8865.12,112365.39600000001,203897.76,Uttar Pradesh
Aligarh,858059.0,582117.0,23866.797,290476.383,309104.12700000004,275942.0,5794.782,99063.178,256350.11800000002,Uttar Pradesh
Mahamaya Nagar,373033.0,288150.0,9220.800000000001,150702.45,169432.19999999998,84883.0,2631.373,39470.595,73423.795,Uttar Pradesh
Mathura,585290.0,407488.0,14669.568000000001,206596.416,243677.824,177802.0,3200.436,60630.482,168556.296,Uttar Pradesh
Agra,903823.0,496971.0,11927.304,210218.733,256934.007,406852.0,5289.076,114325.41200000001,372269.58,Uttar Pradesh
Firozabad,535368.0,349747.0,15039.121,196907.561,108071.823,185621.0,5197.387999999999,80373.893,157777.85,Uttar Pradesh
Mainpuri,411258.0,338475.0,14554.425,191915.325,72433.65,72783.0,1965.1410000000003,30859.992,61428.852000000006,Uttar Pradesh
Budaun,867624.0,710956.0,29860.152000000002,391736.75600000005,117307.74,156668.0,5013.376,72693.95199999999,113897.636,Uttar Pradesh
Bareilly,994411.0,631613.0,25264.52,336649.72899999993,123796.148,362798.0,8344.354,146933.19,294591.976,Uttar Pradesh
Pilibhit,461390.0,371752.0,15985.336,196656.80800000002,61710.832,89638.0,1703.122,34241.716,73503.15999999999,Uttar Pradesh
Shahjahanpur,655003.0,520289.0,34859.363000000005,299686.46400000004,59312.946,134714.0,5388.56,70185.994,110600.19399999999,Uttar Pradesh
Kheri,862610.0,754938.0,56620.35,403136.89200000005,101916.63,107672.0,4737.568,44791.552,81184.688,Uttar Pradesh
Sitapur,938902.0,827583.0,67034.223,541239.282,173792.43,111319.0,7013.097,57663.242,86272.225,Uttar Pradesh
Hardoi,907677.0,786613.0,60569.201,495566.19,352402.62399999995,121064.0,4842.56,56415.824,111742.07199999999,Uttar Pradesh
Unnao,717356.0,596317.0,54861.164,373890.759,211692.535,121039.0,10167.276,55193.784,107482.632,Uttar Pradesh
Lucknow,1061721.0,344155.0,41298.6,211655.32499999998,92921.85,717566.0,58840.41199999999,356630.302,616389.194,Uttar Pradesh
Rae Bareli,778418.0,705025.0,78257.775,451216.0,129019.575,73393.0,6531.977000000001,33613.994,55925.466,Uttar Pradesh
Farrukhabad,411490.0,316647.0,38314.287,196004.493,37680.993,94843.0,8061.655000000001,40213.432,68286.95999999999,Uttar Pradesh
Kannauj,365770.0,299785.0,24882.155000000002,186766.055,52162.59,65985.0,4355.01,30617.039999999997,48828.9,Uttar Pradesh
Etawah,351126.0,265643.0,19391.939,156729.37,41971.594,85483.0,4359.633,37783.486,61291.31100000001,Uttar Pradesh
Auraiya,314274.0,255836.0,21234.388000000003,146338.192,55004.74,58438.0,2395.9579999999996,18174.218,51250.126,Uttar Pradesh
Kanpur Dehat,405256.0,363933.0,28386.774,201618.88199999998,48767.022000000004,41323.0,2148.7960000000003,14091.143000000002,29380.653,Uttar Pradesh
Kanpur Nagar,1049775.0,364869.0,31378.733999999997,217461.924,87203.69099999999,684906.0,32190.582,313002.042,559568.202,Uttar Pradesh
Jalaun,396421.0,304856.0,26827.328,177731.04799999998,66153.752,91565.0,5402.335,39647.645,69223.13999999998,Uttar Pradesh
Jhansi,504913.0,309592.0,24148.176,169346.82400000002,61299.216,195321.0,8203.482,79105.005,162897.714,Uttar Pradesh
Lalitpur,301832.0,258013.0,23221.17,142423.176,52634.651999999995,43819.0,1752.76,16914.134000000002,32951.888,Uttar Pradesh
Hamirpur,311381.0,256081.0,21510.804,145454.00799999997,58898.630000000005,55300.0,3262.7000000000003,21843.5,36663.899999999994,Uttar Pradesh
