District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise
Gautam Buddha Nagar,170835,10591.77,110871.915,96350.94,338935,13218.465,164383.475,319615.705
Bulandshahr,658449,38848.491,398361.645,265354.947,221628,8865.12,112365.396,203897.76
Aligarh,582117,23866.797,290476.383,309104.127,275942,5794.782,99063.178,256350.118
Mahamaya Nagar,288150,9220.8,150702.45,169432.2,84883,2631.373,39470.595,73423.795
Mathura,407488,14669.568,206596.416,243677.824,177802,3200.436,60630.482,168556.296
Agra,496971,11927.304,210218.733,256934.007,406852,5289.076,114325.412,372269.58
Firozabad,349747,15039.121,196907.561,108071.823,185621,5197.388,80373.893,157777.85
Mainpuri,338475,14554.425,191915.325,72433.65,72783,1965.141,30859.992,61428.852
Budaun,710956,29860.152,391736.756,117307.74,156668,5013.376,72693.952,113897.636
Bareilly,631613,25264.52,336649.729,123796.148,362798,8344.354,146933.19,294591.976
Pilibhit,371752,15985.336,196656.808,61710.832,89638,1703.122,34241.716,73503.16
Shahjahanpur,520289,34859.363,299686.464,59312.946,134714,5388.56,70185.994,110600.194
Kheri,754938,56620.35,403136.892,101916.63,107672,4737.568,44791.552,81184.688
Sitapur,827583,67034.223,541239.282,173792.43,111319,7013.097,57663.242,86272.225
Hardoi,786613,60569.201,495566.19,352402.624,121064,4842.56,56415.824,111742.072
Unnao,596317,54861.164,373890.759,211692.535,121039,10167.276,55193.784,107482.632
Lucknow,344155,41298.6,211655.325,92921.85,717566,58840.412,356630.302,616389.194
Rae Bareli,705025,78257.775,451216,129019.575,73393,6531.977,33613.994,55925.466
Farrukhabad,316647,38314.287,196004.493,37680.993,94843,8061.655,40213.432,68286.96
Kannauj,299785,24882.155,186766.055,52162.59,65985,4355.01,30617.04,48828.9
Etawah,265643,19391.939,156729.37,41971.594,85483,4359.633,37783.486,61291.311
Auraiya,255836,21234.388,146338.192,55004.74,58438,2395.958,18174.218,51250.126
Kanpur Dehat,363933,28386.774,201618.882,48767.022,41323,2148.796,14091.143,29380.653
Kanpur Nagar,364869,31378.734,217461.924,87203.691,684906,32190.582,313002.042,559568.202
Jalaun,304856,26827.328,177731.048,66153.752,91565,5402.335,39647.645,69223.14
Jhansi,309592,24148.176,169346.824,61299.216,195321,8203.482,79105.005,162897.714
Lalitpur,258013,23221.17,142423.176,52634.652,43819,1752.76,16914.134,32951.888
Hamirpur,256081,21510.804,145454.008,58898.63,55300,3262.7,21843.5,36663.9
Mahoba,198298,13682.562,116599.224,46798.328,48525,2329.2,18779.175,41343.3
Banda,378056,10963.624,216626.088,106989.848,67569,2364.915,27770.859,51082.164
Chitrakoot,207237,4144.74,98230.338,42898.059,23558,447.602,7750.582,16867.528
Fatehpur,558807,15087.789,295050.096,67056.84,77733,2021.058,28139.346,48894.057
Pratapgarh,711085,12088.445,360520.095,126573.13,41701,667.216,20308.387,22810.447
Kaushambi,349856,3848.416,185073.824,69971.2,30764,522.988,10828.928,22611.54
Allahabad,983266,17698.788,516214.65,116025.388,265304,7163.208,123896.968,155733.448
Bara Banki,635840,36242.88,364972.16,116358.72,79068,3399.924,32338.812,57008.028
Faizabad,510378,22456.632,281728.656,70432.164,79288,3488.672,34014.552,40754.032
Ambedkar Nagar,501559,23071.714,244760.792,78243.204,65031,1885.899,19834.455,54626.04
Sultanpur,839737,99928.703,427426.133,110845.284,49891,4390.408,19706.945,33826.098
Bahraich,698520,64962.36,359039.28,101285.4,61742,3025.358,22288.862,47047.404
Shrawasti,248770,24628.23,115429.28,34579.03,8504,833.392,3571.68,4626.176
Balrampur,410070,35266.02,204214.86,53719.17,35768,1573.792,10623.096,26074.872
Gonda,673578,57927.708,415597.626,70725.69,52794,3009.258,22173.48,41971.23
Siddharthnagar,480165,32651.22,269852.73,49937.16,33348,3334.8,12505.5,21009.24
Basti,513960,34435.32,291415.32,52423.92,31065,1273.665,12581.325,22335.735
Sant Kabir Nagar,324972,36721.836,166060.692,25672.788,27179,1195.876,8833.175,20955.009
Mahrajganj,573046,37821.036,256724.608,59596.784,34033,1769.716,12047.682,15961.477
Gorakhpur,761958,76195.8,307069.074,99816.498,189170,12863.56,67533.69,136391.57
Kushinagar,742324,75717.048,322168.616,91305.852,42775,2737.6,16211.725,21259.175
Deoria,597778,52604.464,307257.892,99828.926,67928,3939.824,26695.704,39669.952
Azamgarh,891024,79301.136,416999.232,165730.464,80434,2976.058,25417.144,64668.936
Mau,352207,29937.595,196883.713,52126.636,99321,9336.174,38437.227,61876.983
Ballia,564927,48018.795,262691.055,94342.809,64454,4253.964,21656.544,40219.296
Jaunpur,926088,83347.92,447300.504,155582.784,80582,3867.936,30137.668,52055.972
Ghazipur,700173,70717.473,330481.656,123230.448,61467,4179.756,27106.947,39031.545
