,State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Households_Urban,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Started
101,Rajasthan,Churu,2039547,1051446,988101,1149269,696729,452540,344897,148996,493893,1293193,458725,272176,15453
102,Rajasthan,Jhunjhunun,2137045,1095896,1041149,1370360,815834,554526,500452,150357,650809,1298780,494124,330126,14015
103,Rajasthan,Alwar,3674179,1939026,1735153,2182476,1359829,822647,782294,212967,995261,2346721,836000,490137,1321
104,Rajasthan,Bharatpur,2548462,1355726,1192736,1480869,943910,536959,0,129697,0,1659515,546362,329127,13458
105,Rajasthan,Dhaulpur,1206516,653647,552869,683098,435721,247377,214670,58626,273296,815651,248416,141365,1084
106,Rajasthan,Karauli,1458248,783639,674609,805849,531904,273945,305047,59308,364355,947173,310688,192042,8345
107,Rajasthan,Sawai Madhopur,1335551,704031,631520,741748,486184,255564,282057,71264,353321,841697,309237,183234,1383
108,Rajasthan,Dausa,1634409,857787,776622,938051,596935,341116,361084,59610,420694,1047136,358718,210117,18438
109,Rajasthan,Jaipur,6626178,3468507,3157671,4300965,2554793,1746172,754841,977838,1732679,4091148,1646480,884057,4493
110,Rajasthan,Sikar,2677333,1374990,1302343,1652117,995275,656842,527560,178274,705834,1672813,605002,381226,18292
111,Rajasthan,Nagaur,3307743,1696325,1611418,1758624,1102750,655874,675712,166489,842201,2088323,754143,463469,1808
112,Rajasthan,Jodhpur,3687165,1923928,1763237,2031532,1265753,765779,584215,307442,891657,2359786,836322,489280,1777
113,Rajasthan,Jaisalmer,669919,361708,308211,308653,210415,98238,159117,30830,189947,448969,140294,79977,679
114,Rajasthan,Barmer,2603751,1369022,1234729,1188322,783461,404861,542825,55980,598805,1731122,527629,326476,18524
115,Rajasthan,Jalor,1828730,936634,892096,829582,543923,285659,419216,48202,467418,1176496,390598,249379,12257
116,Rajasthan,Sirohi,1036346,534231,502115,476806,309900,166906,238535,69639,308174,649290,244401,142251,404
117,Rajasthan,Pali,2037573,1025422,1012151,1085693,667381,418312,512909,139808,652717,1207983,467436,343384,18770
118,Rajasthan,Ajmer,2583052,1324085,1258967,1526673,926268,600405,409335,274919,684254,1561077,629951,388040,3984
119,Rajasthan,Tonk,1421326,728136,693190,749659,478329,271330,298911,81755,380666,880194,334006,205593,1533
120,Rajasthan,Bundi,1110906,577160,533746,585044,371705,213339,239836,63452,303288,686771,267648,155958,529
121,Rajasthan,Bhilwara,2408523,1220736,1187787,1256126,777582,478544,530015,145865,675880,1439454,589476,365023,14570
122,Rajasthan,Rajsamand,1156597,581339,575258,619139,383334,235805,304622,61054,365676,687165,275099,193668,665
123,Rajasthan,Dungarpur,1388552,696532,692020,681591,415820,265771,322816,31547,354363,868458,317700,191917,10477
124,Rajasthan,Banswara,1797485,907754,889731,829343,513854,315489,390437,39407,429844,1153029,406214,216554,21688
125,Rajasthan,Chittaurgarh,1544338,783171,761167,821825,514851,306974,366780,88873,455653,880043,398303,258997,6995
