,State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Households_Urban,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Started
480,Gujarat,Bhavnagar,2880365,1490201,1390164,1887255,1087371,799884,387251,356826,744077,1708938,720241,445121,6065
481,Gujarat,Anand,2092745,1087224,1005521,1551253,874481,676772,413078,208909,621987,1134962,585093,366419,6271
482,Gujarat,Kheda,2299885,1185727,1114158,1660243,942480,717763,461479,160547,622026,1260660,628221,388646,22358
483,Gujarat,Panch Mahals,2390776,1226961,1163815,1440805,858054,582751,463363,104238,567601,1421859,599925,363391,5601
484,Gujarat,Dohad,2127086,1068651,1058435,1007171,599035,408136,323697,52807,376504,1402616,467115,252153,5202
485,Gujarat,Vadodara,4165626,2153736,2011890,2893080,1614087,1278993,547454,692971,1240425,2213474,1190041,733710,28401
486,Gujarat,Narmada,590297,301086,289211,370336,211767,158569,138121,22248,160369,336830,157910,93466,2091
487,Gujarat,Bharuch,1551019,805707,745312,1118276,623047,495229,300677,181319,481996,844298,442523,254728,9470
488,Gujarat,The Dangs,228291,113821,114470,140968,77314,63654,52102,7516,59618,146095,51821,30027,348
489,Gujarat,Navsari,1329672,678165,651507,1001909,539471,462438,267739,141417,409156,673014,390349,258957,7352
490,Gujarat,Valsad,1705678,887222,818456,1170657,655528,515129,262410,235981,498391,944532,485874,259906,15366
491,Gujarat,Surat,6081322,3402224,2679098,4571410,2687468,1883942,369840,1529998,1899838,3563443,1740746,723415,53718
492,Gujarat,Tapi,807022,402188,404834,490036,269007,221029,192272,26217,218489,422047,235019,144575,5381
493,Daman and Diu,Diu,52074,25642,26432,38058,20327,17731,9788,9062,18850,30475,13932,7599,68
494,Daman and Diu,Daman,191173,124659,66514,150348,104316,46032,10006,61073,71079,122589,52868,15428,288
495,Dadra and Nagar Haveli,Dadra and Nagar Haveli,343709,193760,149949,223230,142521,80709,48221,60562,108783,225103,87888,30346,372
496,Maharashtra,Nandurbar,1648295,833170,815125,906509,512099,394410,333440,71572,405012,1011352,390419,241534,4990
497,Maharashtra,Dhule,2050862,1054031,996831,1293916,723388,570528,382777,146013,528790,1167569,513908,350747,18638
498,Maharashtra,Jalgaon,4229917,2197365,2032552,2891882,1629223,1262659,796223,373565,1169788,2352671,1080237,763529,33480
499,Maharashtra,Buldana,2586258,1337560,1248698,1879874,1048892,830982,575405,152787,728192,1467457,641840,473071,3890
500,Maharashtra,Akola,1813906,932334,881572,1411281,758977,652304,308158,196077,504235,998769,483200,327932,4005
501,Maharashtra,Washim,1197160,620302,576858,869917,487703,382214,274925,55921,330846,682919,302425,210185,1631
502,Maharashtra,Amravati,2888445,1480768,1407677,2251875,1207104,1044771,508921,272894,781815,1540590,783549,553265,11041
503,Maharashtra,Wardha,1300774,668385,632389,1019458,552617,466841,268486,120218,388704,659540,370227,270107,900
504,Maharashtra,Nagpur,4653570,2384975,2268595,3673808,1959220,1714588,430844,877522,1308366,2460820,1361821,818467,12462
505,Maharashtra,Bhandara,1200334,605520,594814,899860,488709,411151,283843,72575,356418,626978,333120,232754,7482
506,Maharashtra,Gondiya,1322507,661554,660953,1004243,542837,461406,319702,66813,386515,704214,371908,244111,2274
507,Maharashtra,Gadchiroli,1072942,541328,531614,708365,395110,313255,293586,37254,330840,605217,289448,175518,2759
508,Maharashtra,Chandrapur,2204307,1123834,1080473,1578615,872565,706050,451324,233331,684655,1163802,629890,403719,6896
509,Maharashtra,Yavatmal,2772348,1419965,1352383,2022574,1115980,906594,629243,168889,798132,1549263,733258,483813,6014
510,Maharashtra,Nanded,3361292,1730075,1631217,2189425,1255222,934203,591119,230563,821682,2008314,809135,535827,8016
511,Maharashtra,Hingoli,1177345,606294,571051,790743,450551,340192,242456,41913,284369,692117,281905,201828,1495
512,Maharashtra,Parbhani,1836086,942870,893216,1157814,666291,491523,293480,133759,427239,1078349,436486,313455,7796
513,Maharashtra,Jalna,1959046,1011473,947573,1195523,699428,496095,404746,98084,502830,1150104,454836,341479,12627
514,Maharashtra,Aurangabad,3701282,1924469,1776813,2503837,1430936,1072901,551789,427343,979132,2211996,909771,571932,7583
515,Maharashtra,Nashik,6107187,3157186,2950001,4345366,2397538,1947828,904661,764271,1668932,3580633,1567252,948469,10833
516,Maharashtra,Thane,11060148,5865078,5195070,8227161,4591396,3635765,713994,2904157,3618151,6184519,3241888,1579921,53820
517,Maharashtra,Mumbai Suburban,9356962,5031323,4325639,7575485,4223029,3352456,0,3078829,3078829,4936360,2812001,1575566,33035
518,Maharashtra,Mumbai,3085411,1684608,1400803,2509022,1410680,1098342,0,1107321,1107321,1553005,933586,583243,15577
519,Maharashtra,Raigarh,2634200,1344345,1289855,1939994,1059692,880302,581868,377160,959028,1414154,748339,462741,8966
520,Maharashtra,Pune,9429408,4924105,4505303,7171723,3940210,3231513,1165718,2056739,3222457,5184734,2624165,1586132,34377
521,Maharashtra,Ahmadnagar,4543159,2342825,2200334,3151890,1773355,1378535,1041393,282011,1323404,2496560,1166245,865139,15215
522,Maharashtra,Bid,2585049,1349106,1235943,1718507,987185,731322,563114,135457,698571,1473882,614615,494436,2116
523,Maharashtra,Latur,2454196,1273140,1181056,1650672,932432,718240,428616,157016,585632,1406364,584243,453229,10360
524,Maharashtra,Osmanabad,1657576,861535,796041,1137810,644304,493506,367158,77832,444990,917343,393539,343021,3673
525,Maharashtra,Solapur,4317756,2227852,2089904,2910676,1651266,1259410,779929,376302,1156231,2402794,1089900,809935,15127
526,Maharashtra,Satara,3003741,1510842,1492899,2225694,1201034,1024660,774522,200949,975471,1517324,800492,671702,14223
527,Maharashtra,Ratnagiri,1615069,761121,853948,1199392,619012,580380,538538,100824,639362,777431,438905,396967,1766
528,Maharashtra,Sindhudurg,849651,417332,432319,666067,348289,317778,295847,44989,340836,382024,242296,222963,2368
529,Maharashtra,Kolhapur,3876001,1980658,1895343,2825845,1559760,1266085,796496,382818,1179314,1972486,1084858,801590,17067
530,Maharashtra,Sangli,2822143,1435728,1386415,2049467,1121550,927917,626872,226801,853673,1450907,752303,603739,15194
531,Telangana,Adilabad,2741239,1369597,1371642,1483347,856350,626997,597466,220248,817714,1536378,704551,422522,77788
532,Telangana,Nizamabad,2551335,1250641,1300694,1389810,790214,599596,565165,155133,720298,1399773,676401,437573,37588
533,Telangana,Karimnagar,3776269,1880800,1895469,2206829,1257238,949591,877236,288044,1165280,1940234,1031735,728494,75806
534,Telangana,Medak,3033288,1523030,1510258,1637137,953406,683731,593653,195479,789132,1735769,779738,509368,8413
535,Telangana,Hyderabad,3943323,2018575,1924748,2892155,1542688,1349467,0,1066289,1066289,2249130,1068243,542669,83281
536,Telangana,Rangareddy,5296741,2701008,2595733,3538028,1948784,1589244,432098,1129224,1561322,2966988,1455864,738037,135852
537,Telangana,Mahbubnagar,4053028,2050386,2002642,1940646,1158386,782260,848963,161052,1010015,2360874,1027525,637430,27199
538,Telangana,Nalgonda,3488809,1759772,1729037,2001019,1160757,840262,833504,197433,1030937,1932349,897137,651748,7575
539,Telangana,Warangal,3512576,1759281,1753295,2065023,1179790,885233,758738,288249,1046987,1891954,941452,664872,14298
540,Telangana,Khammam,2797370,1390988,1406382,1630234,901640,728594,669262,201363,870625,1530602,774583,477955,14230
541,Andhra Pradesh,Srikakulam,2703114,1341738,1361376,1495381,857824,637557,752752,149684,902436,1423119,747385,528736,3874
542,Andhra Pradesh,Vizianagaram,2344474,1161477,1182997,1238388,707503,530885,592458,157056,749514,1206366,666394,451469,20245
543,Andhra Pradesh,Visakhapatnam,4290589,2138910,2151679,2568249,1422878,1145371,718847,660493,1379340,2274553,1245627,716066,54343
544,Andhra Pradesh,East Godavari,5154296,2569688,2584608,3288577,1716933,1571644,1199479,406362,1605841,2724328,1478954,948122,2892
545,Andhra Pradesh,West Godavari,3936966,1964918,1972048,2652389,1379223,1273166,1007255,248373,1255628,2051513,1127764,755533,2156
546,Andhra Pradesh,Krishna,4517398,2267375,2250023,3009718,1598959,1410759,909292,567042,1476334,2340943,1284630,833959,57866
547,Andhra Pradesh,Guntur,4887813,2440521,2447292,2960441,1634726,1325715,1069877,513113,1582990,2583462,1371811,928462,4078
548,Andhra Pradesh,Prakasam,3397448,1714764,1682684,1904435,1107686,796749,873486,214089,1087575,1832695,917391,641707,5655
549,Andhra Pradesh,Sri Potti Sriramulu Nellore,2963557,1492974,1470583,1832189,1011922,820267,689137,264376,953513,1574713,840448,544022,4374
550,Andhra Pradesh,Y.S.R.,2882469,1451777,1430692,1716766,994699,722067,590589,293504,884093,1553667,793583,530412,4807
551,Andhra Pradesh,Kurnool,4053463,2039227,2014236,2127161,1246369,880792,783853,306982,1090835,2368684,1053618,609027,22134
552,Andhra Pradesh,Anantapur,4081148,2064495,2016653,2310960,1338474,972486,902997,341431,1244428,2189396,1104565,739612,47575
553,Andhra Pradesh,Chittoor,4174064,2090204,2083860,2667878,1484794,1183084,0,395900,0,2148179,1159053,807430,59402
554,Karnataka,Belgaum,4779661,2423063,2356598,3052032,1725548,1326484,962777,356198,1318975,2669348,1251116,857143,2054
555,Karnataka,Bagalkot,1889752,950111,939641,1113412,641388,472024,324799,165858,490657,1123443,465706,299774,829
556,Karnataka,Bijapur,2177331,1111022,1066309,1248268,730566,517702,396449,131041,527490,1295274,527085,353549,1423
557,Karnataka,Bidar,1703300,870665,832635,1042673,597198,445475,287134,102269,389403,1018195,397120,287271,714
558,Karnataka,Raichur,1928812,964511,964301,979769,577213,402556,330446,125402,455848,1196670,465173,265810,1159
559,Karnataka,Koppal,1389920,699926,689994,809085,468785,340300,272968,64681,337649,855430,330393,202984,1113
560,Karnataka,Gadag,1064570,537147,527423,700177,397178,302999,180066,111906,291972,601578,279069,183409,514
561,Karnataka,Dharwad,0,0,909817,1301664,711776,589888,199707,283397,483104,1017935,0,322577,823
562,Karnataka,Uttara Kannada,1437169,726256,710913,1081906,582099,499807,334281,140511,474792,742281,412649,281542,697
563,Karnataka,Haveri,1597668,819128,778540,1085443,603793,481650,315076,98488,413564,904453,426094,266586,535
564,Karnataka,Bellary,2452595,1236954,1215641,1421621,813440,608181,371604,251876,623480,1487013,617276,346905,1401
565,Karnataka,Chitradurga,1659456,840843,818613,1087392,607188,480204,349704,97644,447348,891230,460057,306412,1757
566,Karnataka,Davanagere,1945497,986400,959097,1308540,720637,587903,354680,176011,530691,1068518,538551,336173,2255
567,Karnataka,Shimoga,1752753,877415,875338,1263016,674938,588078,352444,201662,554106,913150,513297,325542,764
568,Karnataka,Udupi,1177361,562131,615230,0,0,460725,269817,115572,385389,559565,340903,276234,659
569,Karnataka,Chikmagalur,1137961,566622,571339,818345,438257,380088,311660,80766,392426,564994,341380,230864,723
570,Karnataka,Tumkur,2678980,1350594,1328386,1813391,1006024,807367,685443,204799,890242,1351461,760936,564196,2387
571,Karnataka,Bangalore,9621551,5022661,4598890,7512276,4078041,3434235,300576,2967384,3267960,5275666,2909575,1424195,12115
572,Karnataka,Mandya,1805769,905085,900684,1149649,638668,510981,458867,103435,562302,902307,527236,375100,1126
573,Karnataka,Hassan,1776421,883667,892754,1225256,668836,556420,496103,132878,628981,877340,522039,375918,1124
574,Karnataka,Dakshina Kannada,2089649,1034714,1054935,1666323,864019,802304,332919,317373,650292,1072417,608450,407902,880
575,Karnataka,Kodagu,554519,274608,279911,412877,215302,197575,181182,31792,212974,276918,163360,113919,322
576,Karnataka,Mysore,3001127,1511600,1489527,1962180,1063766,898414,540596,380386,920982,1580116,865220,553705,2086
577,Karnataka,Chamarajanagar,1020791,512231,508560,565279,312957,252322,262680,57200,319880,519046,294903,206003,839
578,Karnataka,Gulbarga,2566326,1301755,1264571,1427368,828359,599009,400704,199303,600007,1570719,604665,388935,2007
579,Karnataka,Yadgir,1174271,590329,583942,510003,306751,203252,207787,55208,262995,738451,267222,168186,412
580,Karnataka,Kolar,1536401,776396,760005,1016219,564110,452109,326567,151042,477609,841499,419380,274240,1282
581,Karnataka,Chikkaballapura,1255104,636437,618667,783222,442158,341064,315649,94053,409702,666451,350299,236864,1490
582,Karnataka,Bangalore Rural,990923,509172,481751,688749,385311,303438,231052,95410,326462,535765,278153,176083,922
583,Karnataka,Ramanagara,1082636,548008,534628,674758,378461,296297,266950,84834,351784,559082,297330,224785,1439
584,Goa,North Goa,818008,416677,401331,663060,351738,311322,115859,209230,325089,380926,260533,175035,1514
585,Goa,South Goa,640537,322463,318074,502427,264085,238342,88620,162873,251493,314480,194872,130605,580
586,Lakshadweep,Lakshadweep,64473,33123,31350,52553,28023,24530,5289,15953,21242,33877,19244,11237,115
587,Kerala,Kasaragod,1307375,628613,678762,1037492,516476,521016,251641,166164,417805,688763,369883,246975,1754
588,Kerala,Kannur,2523003,1181446,1341557,2138434,1012956,1125478,306288,566191,872479,1187177,741984,588081,5761
589,Kerala,Wayanad,817420,401684,415736,645585,328136,317449,266183,11805,277988,412806,246590,157326,698
590,Kerala,Kozhikode,3086293,1470942,1615351,2615443,1266939,1348504,323793,666543,990336,1487644,909581,686109,2959
591,Kerala,Malappuram,4112920,1960328,2152592,3311315,1597404,1713911,634543,522586,1157129,2406005,1041361,662311,3243
592,Kerala,Palakkad,2809934,1359478,1450456,2239492,1122600,1116892,665899,228442,894341,1395222,802611,608966,3135
593,Kerala,Thrissur,3121200,1480763,1640437,2678548,1282261,1396287,336748,715119,1051867,1394214,931841,792182,2963
594,Kerala,Ernakulam,3282388,1619557,1662831,2855676,1425723,1429953,369694,804997,1174691,1396968,1024720,858010,2690
595,Kerala,Idukki,1108974,552808,556166,923010,471881,451129,391610,20823,412433,494456,352163,261471,884
596,Kerala,Kottayam,1974551,968289,1006262,1749798,861592,888206,481967,196194,678161,811653,596302,565048,1548
597,Kerala,Alappuzha,2127789,1013142,1114647,1852797,890552,962245,331419,392117,723536,891512,648522,585591,2164
598,Kerala,Pathanamthitta,1197412,561716,635696,1062553,499181,563372,414992,57848,472840,479207,346161,370887,1157
599,Kerala,Kollam,2635375,1246968,1388407,2240273,1074345,1165928,523715,401415,925130,1177359,795245,660965,1806
600,Kerala,Thiruvananthapuram,3301427,1581678,1719749,2785408,1354857,1430551,559293,609824,1169117,1488441,989238,820024,3724
601,Tamil Nadu,Thiruvallur,3728104,1876062,1852042,2791721,1495711,1296010,387237,732196,1119433,1925296,1154775,643614,4419
602,Tamil Nadu,Chennai,4646732,2335844,2310888,3776276,1968079,1808197,0,1314125,1314125,2271657,1468902,899279,6894
603,Tamil Nadu,Kancheepuram,3998252,2012958,1985294,3013382,1611461,1401921,438799,774705,1213504,2076492,1200284,715895,5581
604,Tamil Nadu,Vellore,3936331,1961688,1974643,2773928,1504355,1269573,653499,486801,1140300,2096113,1116437,720713,3068
605,Tamil Nadu,Tiruvannamalai,2464875,1235889,1228986,1626813,909803,717010,563102,147061,710163,1301347,683904,477668,1956
606,Tamil Nadu,Viluppuram,3458873,1740819,1718054,2195776,1234479,961297,808042,159272,967314,1881463,949892,624042,3476
607,Tamil Nadu,Salem,3482056,1781571,1700485,2285562,1285107,1000455,572813,597539,1170352,1737345,1029479,713294,1938
608,Tamil Nadu,Namakkal,1726601,869280,857321,1176131,653312,522819,370357,257127,627484,817905,510413,397064,1219
609,Tamil Nadu,Erode,2251744,1129868,1121876,1492662,828300,664362,411286,432398,843684,1006543,701326,542295,1580
610,Tamil Nadu,The Nilgiris,735394,360143,375251,569647,299447,270200,112126,151979,264105,352516,231451,150804,623
611,Tamil Nadu,Dindigul,2159775,1080938,1078837,1481834,816180,665654,443818,269724,713542,1065734,647806,443528,2707
612,Tamil Nadu,Karur,1064493,528184,536309,727044,401726,325318,212241,152420,364661,501585,320645,241843,420
613,Tamil Nadu,Tiruchirappalli,2722290,1352284,1370006,2038981,1087765,951216,452707,423020,875727,1346661,797258,575960,2411
614,Tamil Nadu,Perambalur,565223,282157,283066,375823,208011,167812,155413,33179,188592,291371,158218,115151,483
615,Tamil Nadu,Ariyalur,754894,374703,380191,480604,269582,211022,223955,30322,254277,380484,216103,157771,536
616,Tamil Nadu,Cuddalore,2605914,1311697,1294217,1815281,1000322,814959,497429,260780,758209,1364411,764669,473617,3217
617,Tamil Nadu,Nagapattinam,1616450,798127,818323,1213008,640916,572092,399016,118724,517740,828444,463326,323706,974
618,Tamil Nadu,Thiruvarur,1264277,626693,637584,946471,503085,443386,321331,86848,408179,627880,377118,257116,2163
619,Tamil Nadu,Thanjavur,2405890,1182416,1223474,1790998,944264,846734,479070,274302,753372,1193095,712017,499235,1543
620,Tamil Nadu,Pudukkottai,1618345,803188,815157,1110545,608776,501769,399712,104229,503941,835853,470428,311175,889
621,Tamil Nadu,Sivaganga,1339101,668672,670429,959744,526304,433440,309224,143193,452417,666218,391356,280462,1065
622,Tamil Nadu,Madurai,3038252,1526475,1511777,2273430,1223810,1049620,417718,592723,1010441,1528178,0,0,2532
623,Tamil Nadu,Theni,1245899,625683,620216,870080,479403,390677,189328,221295,410623,618923,373564,252267,1145
624,Tamil Nadu,Virudhunagar,1942288,967709,974579,1398788,760375,638413,363782,370942,734724,987538,575006,378174,1570
625,Tamil Nadu,Ramanathapuram,1353445,682658,670787,978946,536487,442459,290478,126761,417239,708322,389764,0,0
626,Tamil Nadu,Thoothukkudi,1750176,865021,885155,1349697,703106,646591,336078,300661,636739,887717,499377,361374,1708
627,Tamil Nadu,Tirunelveli,3077233,1520912,1556321,2273457,1210710,1062747,547962,516705,1064667,1554277,876129,644563,2264
628,Tamil Nadu,Kanniyakumari,1870374,926345,944029,1548738,780541,768197,104253,493788,598041,887052,556548,425849,925
629,Tamil Nadu,Dharmapuri,1506843,774303,732540,917709,527599,390110,396819,91107,487926,804186,434328,267536,793
630,Tamil Nadu,Krishnagiri,1879809,960232,919577,1187958,667062,520896,437988,142552,580540,1034474,533183,311238,914
631,Tamil Nadu,Coimbatore,3458045,1729297,1728748,2635907,1394790,1241117,284795,884957,1169752,1579517,1117221,757738,3569
632,Tamil Nadu,Tiruppur,2479052,1246159,1232893,1760566,959623,800943,356886,538022,894908,1177987,794639,504674,1752
633,Pondicherry,Yanam,55626,27301,28325,39274,19919,19355,0,15519,15519,31973,15235,8402,16
634,Pondicherry,Pondicherry,950289,468258,482031,726649,380946,345703,87296,203741,291037,473705,299746,176204,634
635,Pondicherry,Mahe,41816,19143,22673,36470,16610,19860,0,12110,12110,19760,12543,9428,85
636,Pondicherry,Karaikal,200222,97809,102413,154916,79903,75013,35618,33715,69333,0,60089,0,366
637,Andaman and Nicobar Islands,Nicobars,36842,20727,16115,25332,15397,9935,15958,0,15958,18786,12088,5922,46
638,Andaman and Nicobar Islands,North  and Middle Andaman,105597,54861,50736,78683,43186,35497,39091,1094,40185,57350,30741,17464,42
639,Andaman and Nicobar Islands,South Andaman,238142,127283,110859,190266,105794,84472,34901,50631,85532,128402,76332,33128,280
